@[ LOG ][2013-12-21 12:27:03:598]: 	Program start.
@[ERROR][2013-12-21 17:49:10:920]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 17:49:13:827]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 17:49:16:278]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 17:49:18:085]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 17:50:27:465]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&node=8159379011&pf_rd_i=761198&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=1690347482&pf_rd_r=0GTVNYHKVN4S534BYV07&pf_rd_s=center-5&pf_rd_t=101	:Read timed out
@[ERROR][2013-12-21 17:50:27:859]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&node=8159379011&pf_rd_i=761198&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=1690347482&pf_rd_r=0GTVNYHKVN4S534BYV07&pf_rd_s=center-5&pf_rd_t=101	:Read timed out
@[ERROR][2013-12-21 17:50:31:037]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&node=8159376011	:Read timed out
@[ERROR][2013-12-21 17:50:31:449]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&node=8159376011	:Read timed out
@[ERROR][2013-12-21 17:50:33:725]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&node=8159368011&pf_rd_i=761198&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=1690347482&pf_rd_r=0GTVNYHKVN4S534BYV07&pf_rd_s=center-5&pf_rd_t=101	:Read timed out
@[ERROR][2013-12-21 17:50:33:735]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&node=8159368011&pf_rd_i=761198&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=1690347482&pf_rd_r=0GTVNYHKVN4S534BYV07&pf_rd_s=center-5&pf_rd_t=101	:Read timed out
@[ERROR][2013-12-21 17:50:34:730]: 	can not load URL. : http://www.amazon.com/s?_encoding=UTF8&field-availability=-1&field-enc-merchantbin=ATVPDKIKX0DER&field-price-mp-owner-bin=00000-20000&rh=i%3Acomputers%2Cn%3A1232597011	:Too many redirects occurred trying to load URL http://www.amazon.com/s?ie=UTF8&field-availability=-1&field-enc-merchantbin=ATVPDKIKX0DER&field-price-mp-owner-bin=00000-20000&page=1&rh=n%3A1232597011%2Cp_6%3AATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%2Cp_74%3A00000-20000%2Cp_n_availability%3A1248800011
@[ERROR][2013-12-21 17:50:36:325]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&node=8159384011	:Read timed out
@[ERROR][2013-12-21 17:50:36:477]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&node=8159384011	:Read timed out
@[ERROR][2013-12-21 17:50:37:888]: 	can not load URL. : http://www.amazon.com/s?_encoding=UTF8&field-availability=-1&field-enc-merchantbin=ATVPDKIKX0DER&field-price-mp-owner-bin=00000-20000&rh=i%3Acomputers%2Cn%3A1232597011	:Too many redirects occurred trying to load URL http://www.amazon.com/s?ie=UTF8&field-availability=-1&field-enc-merchantbin=ATVPDKIKX0DER&field-price-mp-owner-bin=00000-20000&page=1&rh=n%3A1232597011%2Cp_6%3AATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%2Cp_74%3A00000-20000%2Cp_n_availability%3A1248800011
@[ERROR][2013-12-21 17:50:38:254]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&node=8159371011&pf_rd_i=761198&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=1690347482&pf_rd_r=0GTVNYHKVN4S534BYV07&pf_rd_s=center-5&pf_rd_t=101	:Read timed out
@[ERROR][2013-12-21 17:50:38:896]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&node=8159371011&pf_rd_i=761198&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=1690347482&pf_rd_r=0GTVNYHKVN4S534BYV07&pf_rd_s=center-5&pf_rd_t=101	:Read timed out
@[ERROR][2013-12-21 17:50:40:867]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&node=8170004011&pf_rd_i=761198&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=1690347482&pf_rd_r=0GTVNYHKVN4S534BYV07&pf_rd_s=center-5&pf_rd_t=101	:Read timed out
@[ERROR][2013-12-21 17:50:42:396]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&node=8170004011&pf_rd_i=761198&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=1690347482&pf_rd_r=0GTVNYHKVN4S534BYV07&pf_rd_s=center-5&pf_rd_t=101	:Read timed out
@[ERROR][2013-12-21 17:50:42:685]: 	can not load URL. : http://www.amazon.com/b/?_encoding=UTF8&node=8160259011	:Read timed out
@[ERROR][2013-12-21 17:52:12:211]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=20-&node=3237803011	:Read timed out
@[ERROR][2013-12-21 17:52:24:382]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=30-&node=172572	:Read timed out
@[ERROR][2013-12-21 17:52:29:050]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=40-&node=281056	:Read timed out
@[ERROR][2013-12-21 17:52:58:050]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 17:54:10:037]: 	can not load URL. : http://www.amazon.com/gp/seller/sell-your-stuff.html	:HTTP error fetching URL
@[ERROR][2013-12-21 17:54:31:108]: 	can not load URL. : http://www.amazon.com/Frustration-Free-Packaging/b?ie=UTF8&node=1289004011	:Read timed out
@[ERROR][2013-12-21 17:54:57:106]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B00E45043A	:HTTP error fetching URL
@[ERROR][2013-12-21 17:55:06:384]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B00COYOAYW	:HTTP error fetching URL
@[ERROR][2013-12-21 17:55:07:230]: 	can not load URL. : http://www.amazon.com/cell-phones-and-service-plans/b?ie=UTF8&node=2407747011	:Read timed out
@[ERROR][2013-12-21 17:55:15:824]: 	can not load URL. : http://www.amazon.com/cell-phone-accessories/b?ie=UTF8&node=2407755011	:Read timed out
@[ERROR][2013-12-21 17:55:17:825]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2447856011	:Read timed out
@[ERROR][2013-12-21 17:55:26:937]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B00AERVJCM	:HTTP error fetching URL
@[ERROR][2013-12-21 17:55:43:568]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B00FDZMC9Y	:HTTP error fetching URL
@[ERROR][2013-12-21 17:55:52:444]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B009LRNLW2	:HTTP error fetching URL
@[ERROR][2013-12-21 17:56:02:898]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B004IS1PBS	:HTTP error fetching URL
@[ERROR][2013-12-21 17:56:12:879]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B00FM7R1WG	:HTTP error fetching URL
@[ERROR][2013-12-21 17:56:28:463]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B004ZSGAMU	:HTTP error fetching URL
@[ERROR][2013-12-21 17:56:40:259]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B00D9AOU3G	:HTTP error fetching URL
@[ERROR][2013-12-21 17:56:46:944]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B00D99ZBR6	:HTTP error fetching URL
@[ERROR][2013-12-21 17:56:58:943]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B006E8MKZU	:HTTP error fetching URL
@[ERROR][2013-12-21 17:57:07:981]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B009SP8X02	:HTTP error fetching URL
@[ERROR][2013-12-21 17:57:25:617]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B00F9S976G	:HTTP error fetching URL
@[ERROR][2013-12-21 17:57:50:769]: 	can not load URL. : http://www.amazon.com/gp/offer-listing/B00EMHUAN4	:HTTP error fetching URL
